demo,run_id,configuration,success,client_request_start,server_request_received,server_plan_ready,server_response_ready,client_plan_received,total_latency_ms,server_planning_ms,server_response_preparation_ms,ros_and_queue_overhead_ms,plan_length,num_objects,num_fluents,num_domain_actions,num_goals,domain_pddl_bytes,problem_pddl_bytes
demo1_pddl_file,0,direct_upf,true,11224773620222,11224773620222,11224830615365,11224830645732,11224830645732,57.025510,56.995143,0.030367,0.000000,1,2,1,1,1,470,268
demo1_pddl_file,0,upf4ros2,true,11224957453918,11224958545763,11225019127234,11225019288516,11225020195795,62.741877,60.581471,0.161282,1.999124,1,2,1,1,1,470,268
demo1_ros2_node,0,direct_upf,true,11225022700026,11225022700026,11225024018265,11225024060614,11225024060614,1.360588,1.318239,0.042349,0.000000,1,2,1,1,1,312,209
demo1_ros2_node,0,upf4ros2,true,11225026560817,11225028393039,11225030026669,11225030144459,11225030880488,4.319671,1.633630,0.117790,2.568251,1,2,1,1,1,312,209
demo2,0,direct_upf,true,11225033094505,11225033094505,11225036090667,11225036120042,11225036120042,3.025537,2.996162,0.029375,0.000000,1,2,1,1,1,312,209
demo2,0,upf4ros2,true,11225038433756,11225043003204,11225044747241,11225044868789,11225045611981,7.178225,1.744037,0.121548,5.312640,1,2,1,1,1,312,209
demo3,0,direct_upf,true,11225049614257,11225049614257,11225052441522,11225052505943,11225052505943,2.891686,2.827265,0.064421,0.000000,6,6,2,2,3,479,296
demo3,0,upf4ros2,true,11225056210522,11225075743498,11225079596194,11225079802420,11225080647924,24.437402,3.852696,0.206226,20.378480,6,6,2,2,3,479,296
demo3_harvest,0,direct_upf,true,11225086357268,11225086357268,11225092834740,11225092900493,11225092900493,6.543225,6.477472,0.065753,0.000000,4,7,6,3,2,903,597
demo3_harvest,0,upf4ros2,true,11225099305240,11225108212864,11225117597361,11225117786496,11225118554524,19.249284,9.384497,0.189135,9.675652,4,7,6,3,2,903,597
demo1_pddl_file,1,direct_upf,true,11225118839488,11225118839488,11225178071962,11225178100696,11225178100696,59.261208,59.232474,0.028734,0.000000,1,2,1,1,1,470,268
demo1_pddl_file,1,upf4ros2,true,11225299881235,11225300480587,11225359382643,11225359549145,11225360472384,60.591149,58.902056,0.166502,1.522591,1,2,1,1,1,470,268
demo1_ros2_node,1,direct_upf,true,11225364847068,11225364847068,11225366869666,11225366897378,11225366897378,2.050310,2.022598,0.027712,0.000000,1,2,1,1,1,312,209
demo1_ros2_node,1,upf4ros2,true,11225369330515,11225370963194,11225372687593,11225372802078,11225373790900,4.460385,1.724399,0.114485,2.621501,1,2,1,1,1,312,209
demo2,1,direct_upf,true,11225378006766,11225378006766,11225379826855,11225379869836,11225379869836,1.863070,1.820089,0.042981,0.000000,1,2,1,1,1,312,209
demo2,1,upf4ros2,true,11225384058171,11225385186324,11225386497901,11225386560698,11225386946100,2.887929,1.311577,0.062797,1.513555,1,2,1,1,1,312,209
demo3,1,direct_upf,true,11225392254954,11225392254954,11225396396631,11225396504253,11225396504253,4.249299,4.141677,0.107622,0.000000,6,6,2,2,3,479,296
demo3,1,upf4ros2,true,11225403061174,11225406266959,11225409971147,11225410197671,11225410364143,7.302969,3.704188,0.226524,3.372257,6,6,2,2,3,479,296
demo3_harvest,1,direct_upf,true,11225418308974,11225418308974,11225427712968,11225427773321,11225427773321,9.464347,9.403994,0.060353,0.000000,4,7,6,3,2,903,597
demo3_harvest,1,upf4ros2,true,11225433944309,11225440844133,11225450126439,11225450334969,11225451152360,17.208051,9.282306,0.208530,7.717215,4,7,6,3,2,903,597
demo1_pddl_file,2,direct_upf,true,11225451464485,11225451464485,11225503316826,11225503343276,11225503343276,51.878791,51.852341,0.026450,0.000000,1,2,1,1,1,470,268
demo1_pddl_file,2,upf4ros2,true,11225550275211,11225551067554,11225614402663,11225614555409,11225614773608,64.498397,63.335109,0.152746,1.010542,1,2,1,1,1,470,268
demo1_ros2_node,2,direct_upf,true,11225618045717,11225618045717,11225619371209,11225619400865,11225619400865,1.355148,1.325492,0.029656,0.000000,1,2,1,1,1,312,209
demo1_ros2_node,2,upf4ros2,true,11225621755185,11225623557390,11225625162727,11225625273875,11225626216511,4.461326,1.605337,0.111148,2.744841,1,2,1,1,1,312,209
