demo,configuration,metric,mean,median,stdev,min,max,p95
demo1_pddl_file,direct_upf,total_latency_ms,74.343702,58.530951,30.266507,49.892931,119.468679,118.563279
demo1_pddl_file,direct_upf,server_planning_ms,74.314822,58.502147,30.266604,49.867684,119.436328,118.533449
demo1_pddl_file,direct_upf,server_response_preparation_ms,0.028880,0.028804,0.002737,0.025247,0.033713,0.033100
demo1_pddl_file,direct_upf,ros_and_queue_overhead_ms,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
demo1_pddl_file,direct_upf,plan_length,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,direct_upf,num_objects,2,2.000000,0.000000,2,2,2.000000
demo1_pddl_file,direct_upf,num_fluents,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,direct_upf,num_domain_actions,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,direct_upf,num_goals,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,direct_upf,domain_pddl_bytes,470,470.000000,0.000000,470,470,470.000000
demo1_pddl_file,direct_upf,problem_pddl_bytes,268,268.000000,0.000000,268,268,268.000000
demo1_pddl_file,upf4ros2,total_latency_ms,62.478503,62.435538,1.953442,59.355084,65.166639,64.878202
demo1_pddl_file,upf4ros2,server_planning_ms,60.743779,60.454833,1.811879,58.416687,63.335109,63.255427
demo1_pddl_file,upf4ros2,server_response_preparation_ms,0.164634,0.158547,0.020299,0.139241,0.198993,0.197437
demo1_pddl_file,upf4ros2,ros_and_queue_overhead_ms,1.570090,1.701387,0.407962,0.742861,1.999124,1.950528
demo1_pddl_file,upf4ros2,plan_length,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,upf4ros2,num_objects,2,2.000000,0.000000,2,2,2.000000
demo1_pddl_file,upf4ros2,num_fluents,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,upf4ros2,num_domain_actions,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,upf4ros2,num_goals,1,1.000000,0.000000,1,1,1.000000
demo1_pddl_file,upf4ros2,domain_pddl_bytes,470,470.000000,0.000000,470,470,470.000000
demo1_pddl_file,upf4ros2,problem_pddl_bytes,268,268.000000,0.000000,268,268,268.000000
demo1_ros2_node,direct_upf,total_latency_ms,1.393708,1.278314,0.336403,1.060245,2.050310,1.964528
demo1_ros2_node,direct_upf,server_planning_ms,1.360200,1.243860,0.335251,1.028235,2.022598,1.928782
demo1_ros2_node,direct_upf,server_response_preparation_ms,0.033508,0.031630,0.005869,0.027712,0.045566,0.044118
demo1_ros2_node,direct_upf,ros_and_queue_overhead_ms,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
demo1_ros2_node,direct_upf,plan_length,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,direct_upf,num_objects,2,2.000000,0.000000,2,2,2.000000
demo1_ros2_node,direct_upf,num_fluents,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,direct_upf,num_domain_actions,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,direct_upf,num_goals,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,direct_upf,domain_pddl_bytes,312,312.000000,0.000000,312,312,312.000000
demo1_ros2_node,direct_upf,problem_pddl_bytes,209,209.000000,0.000000,209,209,209.000000
demo1_ros2_node,upf4ros2,total_latency_ms,4.984597,4.461436,0.960380,4.062149,6.659513,6.596607
demo1_ros2_node,upf4ros2,server_planning_ms,1.838025,1.701863,0.379500,1.583777,2.812708,2.510146
demo1_ros2_node,upf4ros2,server_response_preparation_ms,0.124399,0.116984,0.024459,0.096430,0.185017,0.166383
demo1_ros2_node,upf4ros2,ros_and_queue_overhead_ms,3.022174,2.683171,0.684069,2.335895,4.391174,4.164503
demo1_ros2_node,upf4ros2,plan_length,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,upf4ros2,num_objects,2,2.000000,0.000000,2,2,2.000000
demo1_ros2_node,upf4ros2,num_fluents,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,upf4ros2,num_domain_actions,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,upf4ros2,num_goals,1,1.000000,0.000000,1,1,1.000000
demo1_ros2_node,upf4ros2,domain_pddl_bytes,312,312.000000,0.000000,312,312,312.000000
demo1_ros2_node,upf4ros2,problem_pddl_bytes,209,209.000000,0.000000,209,209,209.000000
demo2,direct_upf,total_latency_ms,8.892544,1.792037,22.794483,0.999612,73.742852,41.920060
demo2,direct_upf,server_planning_ms,8.855397,1.748155,22.795593,0.972892,73.709159,41.888310
demo2,direct_upf,server_response_preparation_ms,0.037147,0.033823,0.010083,0.025147,0.053050,0.052148
demo2,direct_upf,ros_and_queue_overhead_ms,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
demo2,direct_upf,plan_length,1,1.000000,0.000000,1,1,1.000000
demo2,direct_upf,num_objects,2,2.000000,0.000000,2,2,2.000000
demo2,direct_upf,num_fluents,1,1.000000,0.000000,1,1,1.000000
demo2,direct_upf,num_domain_actions,1,1.000000,0.000000,1,1,1.000000
demo2,direct_upf,num_goals,1,1.000000,0.000000,1,1,1.000000
demo2,direct_upf,domain_pddl_bytes,312,312.000000,0.000000,312,312,312.000000
demo2,direct_upf,problem_pddl_bytes,209,209.000000,0.000000,209,209,209.000000
demo2,upf4ros2,total_latency_ms,4.661713,4.569724,1.459277,2.887929,7.178225,6.853053
demo2,upf4ros2,server_planning_ms,1.908865,1.817354,0.548383,1.311577,3.283670,2.804679
demo2,upf4ros2,server_response_preparation_ms,0.119443,0.118368,0.028695,0.062797,0.175008,0.158493
demo2,upf4ros2,ros_and_queue_overhead_ms,2.633405,2.476368,1.173841,1.513555,5.312640,4.355894
demo2,upf4ros2,plan_length,1,1.000000,0.000000,1,1,1.000000
demo2,upf4ros2,num_objects,2,2.000000,0.000000,2,2,2.000000
demo2,upf4ros2,num_fluents,1,1.000000,0.000000,1,1,1.000000
demo2,upf4ros2,num_domain_actions,1,1.000000,0.000000,1,1,1.000000
demo2,upf4ros2,num_goals,1,1.000000,0.000000,1,1,1.000000
demo2,upf4ros2,domain_pddl_bytes,312,312.000000,0.000000,312,312,312.000000
demo2,upf4ros2,problem_pddl_bytes,209,209.000000,0.000000,209,209,209.000000
demo3,direct_upf,total_latency_ms,3.251885,2.736641,1.052083,2.240046,4.994094,4.817697
demo3,direct_upf,server_planning_ms,3.170578,2.674450,1.023490,2.183550,4.865072,4.691934
demo3,direct_upf,server_response_preparation_ms,0.081306,0.063189,0.028850,0.056496,0.129022,0.125763
demo3,direct_upf,ros_and_queue_overhead_ms,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
demo3,direct_upf,plan_length,6,6.000000,0.000000,6,6,6.000000
demo3,direct_upf,num_objects,6,6.000000,0.000000,6,6,6.000000
demo3,direct_upf,num_fluents,2,2.000000,0.000000,2,2,2.000000
demo3,direct_upf,num_domain_actions,2,2.000000,0.000000,2,2,2.000000
demo3,direct_upf,num_goals,3,3.000000,0.000000,3,3,3.000000
demo3,direct_upf,domain_pddl_bytes,479,479.000000,0.000000,479,479,479.000000
demo3,direct_upf,problem_pddl_bytes,296,296.000000,0.000000,296,296,296.000000
demo3,upf4ros2,total_latency_ms,9.508368,7.684634,5.332190,6.741537,24.437402,17.711876
demo3,upf4ros2,server_planning_ms,3.643518,3.446035,0.474181,3.272049,4.857368,4.405266
demo3,upf4ros2,server_response_preparation_ms,0.203812,0.193637,0.040151,0.162264,0.289643,0.265825
demo3,upf4ros2,ros_and_queue_overhead_ms,5.661038,3.957477,5.217640,3.167693,20.378480,13.663161
demo3,upf4ros2,plan_length,6,6.000000,0.000000,6,6,6.000000
demo3,upf4ros2,num_objects,6,6.000000,0.000000,6,6,6.000000
demo3,upf4ros2,num_fluents,2,2.000000,0.000000,2,2,2.000000
demo3,upf4ros2,num_domain_actions,2,2.000000,0.000000,2,2,2.000000
demo3,upf4ros2,num_goals,3,3.000000,0.000000,3,3,3.000000
demo3,upf4ros2,domain_pddl_bytes,479,479.000000,0.000000,479,479,479.000000
demo3,upf4ros2,problem_pddl_bytes,296,296.000000,0.000000,296,296,296.000000
demo3_harvest,direct_upf,total_latency_ms,6.785032,6.280664,1.167131,5.951267,9.464347,8.967715
demo3_harvest,direct_upf,server_planning_ms,6.723338,6.221458,1.167098,5.890754,9.403994,8.906334
demo3_harvest,direct_upf,server_response_preparation_ms,0.061694,0.061400,0.002516,0.056987,0.065753,0.065456
demo3_harvest,direct_upf,ros_and_queue_overhead_ms,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
demo3_harvest,direct_upf,plan_length,4,4.000000,0.000000,4,4,4.000000
demo3_harvest,direct_upf,num_objects,7,7.000000,0.000000,7,7,7.000000
demo3_harvest,direct_upf,num_fluents,6,6.000000,0.000000,6,6,6.000000
demo3_harvest,direct_upf,num_domain_actions,3,3.000000,0.000000,3,3,3.000000
demo3_harvest,direct_upf,num_goals,2,2.000000,0.000000,2,2,2.000000
demo3_harvest,direct_upf,domain_pddl_bytes,903,903.000000,0.000000,903,903,903.000000
demo3_harvest,direct_upf,problem_pddl_bytes,597,597.000000,0.000000,597,597,597.000000
demo3_harvest,upf4ros2,total_latency_ms,19.605915,18.674889,3.599084,16.763027,28.757614,25.872038
demo3_harvest,upf4ros2,server_planning_ms,10.340151,9.683382,2.109900,8.826442,15.977937,13.708332
demo3_harvest,upf4ros2,server_response_preparation_ms,0.247226,0.216681,0.073864,0.189135,0.435586,0.373856
demo3_harvest,upf4ros2,ros_and_queue_overhead_ms,9.018538,8.395325,1.622045,7.601078,12.344091,11.834375
demo3_harvest,upf4ros2,plan_length,4,4.000000,0.000000,4,4,4.000000
demo3_harvest,upf4ros2,num_objects,7,7.000000,0.000000,7,7,7.000000
demo3_harvest,upf4ros2,num_fluents,6,6.000000,0.000000,6,6,6.000000
demo3_harvest,upf4ros2,num_domain_actions,3,3.000000,0.000000,3,3,3.000000
demo3_harvest,upf4ros2,num_goals,2,2.000000,0.000000,2,2,2.000000
demo3_harvest,upf4ros2,domain_pddl_bytes,903,903.000000,0.000000,903,903,903.000000
demo3_harvest,upf4ros2,problem_pddl_bytes,597,597.000000,0.000000,597,597,597.000000
